,acc,f1_macro,f1_micro,name,classes,num_size
93,0.7481057898498927,0.3664685139883971,0.37026447462473194,Lipo,5,500
94,0.7086587436332767,0.2568102291494633,0.27164685908319186,FreeSolv,5,10
95,0.6798305982001059,0.16256352079262013,0.19957649550026468,Lipo,5,10
96,0.6774193548387097,0.16907359796722363,0.1935483870967742,FreeSolv,5,10
97,0.8193078324225864,0.5508126827034838,0.5482695810564663,FreeSolv,5,50
98,0.8917293233082706,0.729618980169253,0.7293233082706767,FreeSolv,5,200
99,0.7803607214428858,0.42415988646434394,0.45090180360721444,FreeSolv,5,100
100,0.6852352623039482,0.1965243945084214,0.2130881557598702,Lipo,5,50
101,0.6025569760978321,0.5946023460578771,0.6025569760978321,Lipo,2,100
102,0.7144202472042378,0.2845538397465919,0.28605061801059445,Lipo,5,200
103,0.6800423504499735,0.1811479788406473,0.20010587612493383,Lipo,5,10
104,0.694104921579232,0.20360485978215506,0.23526230394808004,Lipo,5,50
105,0.8004008016032064,0.4784151837833825,0.501002004008016,FreeSolv,5,100
106,0.692590589507842,0.22710647305823914,0.2314764737696052,Lipo,5,50
107,0.6787718369507676,0.1193567808851737,0.196929592376919,Lipo,5,10
108,0.7111728738187882,0.27579736043999004,0.27793218454697055,Lipo,5,100
109,0.7704074338813439,0.4109910896170447,0.4260185847033595,Lipo,5,500
110,0.8922305764411027,0.8915329030137125,0.8922305764411027,FreeSolv,2,200
111,0.728421052631579,0.26673484452832985,0.32105263157894737,photoswitch,5,10
112,0.890909090909091,0.7251521663248834,0.7272727272727273,FreeSolv,5,500
113,0.7131403118040089,0.26587503330788137,0.2828507795100223,opv,5,200
114,0.6774809160305344,0.16375569032971188,0.19370229007633588,opv,5,50
115,0.6876061120543293,0.21156900892527508,0.21901528013582344,FreeSolv,5,10
116,0.9070707070707071,0.7688879756321617,0.7676767676767676,FreeSolv,5,500
117,0.5601202404809619,0.5319104381615399,0.5601202404809619,opv,2,100
118,0.8268537074148297,0.561277531816536,0.5671342685370742,FreeSolv,5,100
119,0.5263366288568928,0.4721731458475336,0.5263366288568928,qmug,2,10
120,0.8807017543859649,0.7039381092104396,0.7017543859649122,FreeSolv,5,200
121,0.7457194899817852,0.370592120601101,0.36429872495446264,FreeSolv,5,50
122,0.8140280561122244,0.47364656399237254,0.5350701402805611,FreeSolv,5,100
123,0.6012024048096193,0.5716830572808833,0.6012024048096193,opv,2,100
124,0.7592225643297971,0.39396149805318526,0.3980564108244927,qmug,5,200
125,0.7422012948793408,0.3547411994002925,0.355503237198352,Lipo,5,200
126,0.8196392785571143,0.8178832116788322,0.8196392785571143,FreeSolv,2,100
127,0.8868686868686868,0.7156404855249527,0.7171717171717171,FreeSolv,5,500
128,0.7116175653140633,0.2501713788552391,0.27904391328515843,Lipo,5,100
129,0.7189318760743214,0.2758724308773081,0.2973296901858036,qmug,5,50
130,0.7062812673707615,0.20735080254083957,0.26570316842690384,Lipo,5,100
131,0.8124248496993989,0.529921217230324,0.531062124248497,FreeSolv,5,100
132,0.8260521042084168,0.5490355667664069,0.5651302605210421,FreeSolv,5,100
133,0.7939879759519038,0.4642604505905953,0.4849699398797595,FreeSolv,5,100
134,0.7120543293718166,0.2779017444344258,0.2801358234295416,FreeSolv,5,10
135,0.5648854961832062,0.5201465201465201,0.5648854961832062,opv,2,50
136,0.7429075927015891,0.34555809958127376,0.3572689817539729,Lipo,5,200
137,0.6758073054526205,0.1614482857401258,0.18951826363155108,Lipo,5,10
138,0.6247216035634744,0.6163050024406789,0.6247216035634744,opv,2,200
139,0.9232323232323232,0.8069171700284935,0.8080808080808081,FreeSolv,5,500
140,0.7038076152304609,0.218007421641012,0.2595190380761523,opv,5,100
141,0.501852832186342,0.4557114428500521,0.501852832186342,Lipo,2,10
142,0.7079796264855688,0.2612126730005446,0.2699490662139219,FreeSolv,5,10
143,0.7448177269478199,0.744565058956203,0.7448177269478199,Lipo,2,500
144,0.6781365802011646,0.16135446400656045,0.1953414505029116,Lipo,5,10
145,0.7400824014125956,0.3384670439755207,0.3502060035314891,Lipo,5,200
146,0.6956086714841578,0.1744371487091924,0.23902167871039467,Lipo,5,100
147,0.6960519199567334,0.21843337582064803,0.24012979989183342,Lipo,5,50
148,0.677924827951297,0.14245896442321587,0.19481206987824246,Lipo,5,10
149,0.775591985428051,0.433053265635779,0.43897996357012753,FreeSolv,5,50
150,0.6747028862478778,0.176761202057874,0.1867572156196944,FreeSolv,5,10
151,0.6882712618121178,0.20266718999034258,0.2206781545302946,Lipo,5,100
152,0.6131578947368421,0.5999684901782454,0.6131578947368421,photoswitch,2,10
153,0.9090909090909091,0.908942258559019,0.9090909090909091,FreeSolv,2,500
154,0.7365509123013536,0.3307278973626072,0.34137728075338436,Lipo,5,200
155,0.8666666666666666,0.6612678406343565,0.6666666666666666,FreeSolv,5,200
156,0.7329729729729729,0.31171098560261123,0.3324324324324324,photoswitch,5,20
157,0.8872180451127819,0.8868741218647025,0.8872180451127819,FreeSolv,2,200
158,0.691828793774319,0.16975328768149014,0.22957198443579765,Lipo,5,100
159,0.9030612244897959,0.9024901154722317,0.9030612244897959,photoswitch,2,200
160,0.7108108108108108,0.7096890101267865,0.7108108108108108,photoswitch,2,20
161,0.7221895232489699,0.2994701477912339,0.305473808122425,Lipo,5,200
162,0.7518227305218013,0.38032236400742964,0.3795568263045032,Lipo,5,500
163,0.613674263479711,0.599710901695371,0.613674263479711,Lipo,2,100
164,0.9313131313131313,0.8326890756302522,0.8282828282828283,FreeSolv,5,500
165,0.68125,0.17836630985448804,0.203125,opv,5,10
166,0.8536340852130326,0.6308817534404831,0.6340852130325815,FreeSolv,5,200
167,0.719732441471572,0.3007584891906799,0.2993311036789298,opv,5,500
168,0.7595425303788421,0.3978967674958186,0.3988563259471051,Lipo,5,500
169,0.8606516290726816,0.639644836762999,0.6516290726817042,FreeSolv,5,200
170,0.6768660667019587,0.15538103934410935,0.19216516675489678,Lipo,5,10
171,0.7686919228020014,0.4209940192262877,0.42172980700500357,Lipo,5,500
172,0.7675774134790527,0.4165621134043015,0.41894353369763204,FreeSolv,5,50
173,0.7233853006681514,0.29445580860910636,0.30846325167037864,opv,5,200
174,0.7589706933523945,0.38707394342022083,0.39742673338098644,Lipo,5,500
